,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose
2013-01-01 22:00:00,1.3184799999999999,1.32935,1.3156299999999999,1.3185,1.31853,1.3294,1.31571,1.3186
2013-01-02 22:00:00,1.3185,1.31903,1.3046799999999998,1.30483,1.3186,1.3191,1.30471,1.30501
2013-01-03 22:00:00,1.30483,1.30897,1.29974,1.30679,1.30501,1.30898,1.29978,1.30697
2013-01-06 22:00:00,1.30679,1.3119399999999999,1.30168,1.31159,1.30697,1.31196,1.30168,1.31166
2013-01-07 22:00:00,1.31159,1.31398,1.3056299999999998,1.30805,1.31166,1.314,1.30565,1.30815
2013-01-08 22:00:00,1.30805,1.3096,1.30369,1.30634,1.30815,1.30962,1.30368,1.30639
2013-01-09 22:00:00,1.30634,1.32726,1.30388,1.3267,1.30639,1.32794,1.3039100000000001,1.3279
2013-01-10 22:00:00,1.3267,1.3365799999999999,1.32483,1.33427,1.3279,1.3366,1.32486,1.33437
2013-01-13 22:00:00,1.33427,1.3404399999999999,1.33361,1.3381,1.33437,1.34043,1.33364,1.3383200000000002
2013-01-14 22:00:00,1.3381,1.33938,1.32634,1.33053,1.3383200000000002,1.3393700000000002,1.32634,1.33059
2013-01-15 22:00:00,1.33053,1.33249,1.3256299999999999,1.32883,1.33059,1.33249,1.3256299999999999,1.32886
2013-01-16 22:00:00,1.32883,1.33874,1.327,1.33761,1.32886,1.3387200000000001,1.32699,1.33764
2013-01-17 22:00:00,1.33761,1.3398299999999999,1.3280399999999999,1.3311899999999999,1.33764,1.33985,1.32807,1.33194
2013-01-20 22:00:00,1.3311899999999999,1.33323,1.33,1.33123,1.33194,1.33325,1.33002,1.33134
2013-01-21 22:00:00,1.33123,1.3371600000000001,1.3266799999999999,1.33215,1.33134,1.33718,1.32669,1.33228
2013-01-22 22:00:00,1.33215,1.33548,1.32643,1.33175,1.33228,1.3354700000000002,1.32646,1.3318299999999998
2013-01-23 22:00:00,1.33175,1.3392700000000002,1.32861,1.33758,1.3318299999999998,1.33928,1.3286200000000001,1.33769
2013-01-24 22:00:00,1.33758,1.34792,1.3349799999999998,1.34569,1.33769,1.34794,1.3349799999999998,1.34562
2013-01-27 22:00:00,1.34569,1.3477299999999999,1.34245,1.3454700000000002,1.34562,1.3477299999999999,1.34249,1.34554
2013-01-28 22:00:00,1.3454700000000002,1.34975,1.34143,1.34915,1.34554,1.3497299999999999,1.34145,1.3492
2013-01-29 22:00:00,1.34915,1.35873,1.3482,1.35665,1.3492,1.3588,1.3482299999999998,1.3567200000000001
2013-01-30 22:00:00,1.35665,1.35945,1.35412,1.35769,1.3567200000000001,1.35945,1.35414,1.35779
2013-01-31 22:00:00,1.35769,1.37109,1.35722,1.3639,1.35779,1.37111,1.3573899999999999,1.36427
2013-02-02 22:00:00,1.3639,1.3655700000000002,1.36293,1.36538,1.36427,1.36545,1.36334,1.36538
2013-02-03 22:00:00,1.36538,1.36598,1.3505200000000002,1.3513600000000001,1.36538,1.36605,1.3505200000000002,1.35154
2013-02-04 22:00:00,1.3513600000000001,1.35975,1.34584,1.35827,1.35154,1.35975,1.34586,1.3583399999999999
2013-02-05 22:00:00,1.35827,1.3596,1.34934,1.35215,1.3583399999999999,1.35961,1.3493700000000002,1.3522299999999998
2013-02-06 22:00:00,1.35215,1.3577700000000001,1.33705,1.33979,1.3522299999999998,1.35775,1.33709,1.33986
2013-02-07 22:00:00,1.33979,1.3429200000000001,1.33533,1.33629,1.33986,1.34295,1.33535,1.33636
2013-02-09 22:00:00,1.33629,1.3378299999999999,1.33495,1.33769,1.33636,1.33835,1.33558,1.3378299999999999
2013-02-10 22:00:00,1.33769,1.34275,1.3357,1.3404399999999999,1.3378299999999999,1.34277,1.33574,1.3404200000000002
2013-02-11 22:00:00,1.3404399999999999,1.34756,1.33639,1.34528,1.3404200000000002,1.3475700000000002,1.33641,1.34535
2013-02-12 22:00:00,1.34528,1.35199,1.3426200000000001,1.3452,1.34535,1.35201,1.34265,1.34512
2013-02-13 22:00:00,1.3452,1.3455700000000002,1.33152,1.33618,1.34512,1.34561,1.33155,1.33647
2013-02-14 22:00:00,1.33618,1.33933,1.33064,1.3363,1.33647,1.33936,1.33066,1.3367200000000001
2013-02-16 22:00:00,1.3363,1.3363,1.33408,1.33485,1.3367200000000001,1.3367200000000001,1.3347,1.33495
2013-02-17 22:00:00,1.33485,1.33794,1.33215,1.33505,1.33495,1.33797,1.33217,1.33518
2013-02-18 22:00:00,1.33505,1.3396,1.33287,1.33886,1.33518,1.33961,1.33292,1.33884
2013-02-19 22:00:00,1.33886,1.3434,1.3270899999999999,1.32828,1.33884,1.34343,1.3271,1.32817
2013-02-20 22:00:00,1.32828,1.3289600000000001,1.31609,1.31891,1.32817,1.32918,1.31609,1.31892
2013-02-21 22:00:00,1.31891,1.32453,1.3145,1.3187,1.31892,1.32463,1.3145200000000001,1.31897
2013-02-23 22:00:00,1.3187,1.32295,1.3187,1.32161,1.31897,1.3239,1.31897,1.32164
2013-02-24 22:00:00,1.32161,1.3319,1.30477,1.30597,1.32164,1.3319,1.30481,1.3065799999999999
2013-02-25 22:00:00,1.30597,1.3123,1.30182,1.3063,1.3065799999999999,1.31233,1.30185,1.30635
2013-02-26 22:00:00,1.3063,1.3147,1.3041399999999999,1.31379,1.30635,1.31472,1.30416,1.3136299999999999
2013-02-27 22:00:00,1.31379,1.31617,1.3053,1.30574,1.3136299999999999,1.31621,1.30534,1.30578
2013-02-28 22:00:00,1.30574,1.3101,1.29664,1.3020399999999999,1.30578,1.3101200000000002,1.29667,1.3021200000000002
2013-03-02 22:00:00,1.3020399999999999,1.3020399999999999,1.3004,1.30115,1.3021200000000002,1.3021200000000002,1.30081,1.30132
2013-03-03 22:00:00,1.30115,1.30311,1.2982200000000002,1.30251,1.30132,1.30314,1.29825,1.30264
2013-03-04 22:00:00,1.30251,1.3075299999999999,1.30101,1.3049899999999999,1.30264,1.30755,1.30105,1.30512
2013-03-05 22:00:00,1.3049899999999999,1.30705,1.29637,1.29656,1.30512,1.30706,1.29667,1.2969899999999999
2013-03-06 22:00:00,1.29656,1.3118299999999998,1.29656,1.31083,1.2969899999999999,1.31185,1.2967600000000001,1.31087
2013-03-07 22:00:00,1.31083,1.31345,1.2955299999999998,1.3000200000000002,1.31087,1.31346,1.29556,1.30027
2013-03-09 22:00:00,1.3000200000000002,1.3000200000000002,1.2982799999999999,1.29861,1.30027,1.3004200000000001,1.29872,1.29873
2013-03-10 21:00:00,1.29861,1.3053700000000001,1.29793,1.30454,1.29873,1.30539,1.29796,1.30463
2013-03-11 21:00:00,1.30454,1.30746,1.2991,1.30328,1.30463,1.30748,1.29913,1.30338
2013-03-12 21:00:00,1.30328,1.3064799999999999,1.29233,1.2961,1.30338,1.30649,1.29235,1.29619
2013-03-13 21:00:00,1.2961,1.30326,1.2911299999999999,1.3004200000000001,1.29619,1.3032700000000002,1.2911700000000002,1.30051
2013-03-14 21:00:00,1.3004200000000001,1.31071,1.29993,1.30745,1.30051,1.31073,1.29997,1.30761
2013-03-16 21:00:00,1.30745,1.30745,1.28956,1.2906600000000001,1.30761,1.30761,1.29072,1.2908
2013-03-17 21:00:00,1.2906600000000001,1.29958,1.28819,1.29567,1.2908,1.2996,1.2882200000000001,1.29572
2013-03-18 21:00:00,1.29567,1.297,1.28434,1.2882,1.29572,1.2969700000000002,1.28439,1.28829
2013-03-19 21:00:00,1.2882,1.2978299999999998,1.28566,1.29345,1.28829,1.2979,1.28568,1.29352
2013-03-20 21:00:00,1.29345,1.2955,1.28797,1.28982,1.29352,1.29554,1.28799,1.2899399999999999
2013-03-21 21:00:00,1.28982,1.30101,1.28881,1.29892,1.2899399999999999,1.30102,1.28884,1.2990700000000002
2013-03-23 21:00:00,1.29892,1.29892,1.2941799999999999,1.2943,1.2990700000000002,1.2990700000000002,1.29451,1.2946
2013-03-24 21:00:00,1.2943,1.30482,1.28298,1.28524,1.2946,1.30498,1.28298,1.2853299999999999
2013-03-25 21:00:00,1.28524,1.2889899999999999,1.28278,1.28608,1.2853299999999999,1.2890000000000001,1.2828600000000001,1.28619
2013-03-26 21:00:00,1.28608,1.28669,1.27508,1.27785,1.28619,1.28672,1.2750700000000001,1.27809
2013-03-27 21:00:00,1.27785,1.28444,1.27552,1.2817100000000001,1.27809,1.28446,1.2755299999999998,1.2818200000000002
2013-03-28 21:00:00,1.2817100000000001,1.2837,1.27929,1.28155,1.2818200000000002,1.28376,1.27934,1.2819200000000002
2013-03-30 21:00:00,1.28155,1.28155,1.28013,1.28034,1.2819200000000002,1.2819200000000002,1.28057,1.28102
2013-03-31 21:00:00,1.28034,1.28682,1.27712,1.28498,1.28102,1.28682,1.27716,1.2849899999999999
